PC=00000478, REG[12]=97952d19
PC=0000047c, REG[14]=59cffb35
PC=00000480, REG[13]=3f0b32b6
PC=00000484, REG[14]=f165284e
PC=00000488, REG[14]=30705b04
PC=0000048c, REG[15]=30705b04
PC=00000490, REG[10]=60e0b608
PC=00000494, ---
PC=00000498, REG[10]=30705b04
PC=0000049c, ---
PC=0000033c, REG[14]=30705b04
PC=00000340, REG[15]=00010000
PC=00000344, REG[15]=0000ffff
PC=00000348, REG[14]=00005b04
PC=0000034c, REG[13]=0000ff80
PC=00000350, REG[15]=00000002
PC=00000354, REG[15]=00000008
PC=00000358, REG[15]=0000ff88
PC=0000035c, ---
PC=00000360, REG[ 1]=00000360
PC=00000364, REG[ 1]=00000368
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=2917ec1a
PC=0000045c, REG[14]=30705b04
PC=00000460, REG[15]=3a776692
PC=00000464, REG[12]=3a776693
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=aa774892
PC=0000047c, REG[14]=6a3afbb4
PC=00000480, REG[13]=0c4b196e
PC=00000484, REG[14]=14b24446
PC=00000488, REG[14]=20fd5db4
PC=0000048c, REG[15]=20fd5db4
PC=00000490, REG[10]=41fabb68
PC=00000494, ---
PC=00000498, REG[10]=20fd5db4
PC=0000049c, ---
PC=00000368, REG[14]=20fd5db4
PC=0000036c, REG[15]=00010000
PC=00000370, REG[15]=0000ffff
PC=00000374, REG[14]=00005db4
PC=00000378, REG[13]=0000ff70
PC=0000037c, REG[15]=00000002
PC=00000380, REG[15]=00000008
PC=00000384, REG[15]=0000ff78
PC=00000388, ---
PC=0000038c, REG[14]=0000ff60
PC=00000390, REG[15]=00000002
PC=00000394, REG[15]=00000008
PC=00000398, REG[15]=0000ff68
PC=0000039c, ---
PC=000003a0, REG[15]=00000002
PC=000003a4, REG[15]=00000003
PC=000003a8, ---
PC=000003ac, REG[15]=00001000
PC=000003b0, REG[15]=00000004
PC=000003b4, REG[14]=00000003
PC=000003b8, ---
PC=00000334, REG[ 1]=00000334
PC=00000338, REG[ 1]=0000033c
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=3a776693
PC=0000045c, REG[14]=20fd5db4
PC=00000460, REG[15]=da6ef4d7
PC=00000464, REG[12]=da6ef4d8
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=114423d7
PC=0000047c, REG[14]=77c9c4a4
PC=00000480, REG[13]=117d96fd
PC=00000484, REG[14]=890de87b
PC=00000488, REG[14]=9a8b7f78
PC=0000048c, REG[15]=9a8b7f78
PC=00000490, REG[10]=3516fef0
PC=00000494, ---
PC=00000498, REG[10]=1a8b7f78
PC=0000049c, ---
PC=0000033c, REG[14]=1a8b7f78
PC=00000340, REG[15]=00010000
PC=00000344, REG[15]=0000ffff
PC=00000348, REG[14]=00007f78
PC=0000034c, REG[13]=0000ff80
PC=00000350, REG[15]=00000003
PC=00000354, REG[15]=0000000c
PC=00000358, REG[15]=0000ff8c
PC=0000035c, ---
PC=00000360, REG[ 1]=00000360
PC=00000364, REG[ 1]=00000368
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=da6ef4d8
PC=0000045c, REG[14]=9a8b7f78
PC=00000460, REG[15]=12b031f8
PC=00000464, REG[12]=12b031f9
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=df36e9f8
PC=0000047c, REG[14]=2f99f018
PC=00000480, REG[13]=41587fc8
PC=00000484, REG[14]=0ed0da10
PC=00000488, REG[14]=502959d8
PC=0000048c, REG[15]=502959d8
PC=00000490, REG[10]=a052b3b0
PC=00000494, ---
PC=00000498, REG[10]=502959d8
PC=0000049c, ---
PC=00000368, REG[14]=502959d8
PC=0000036c, REG[15]=00010000
PC=00000370, REG[15]=0000ffff
PC=00000374, REG[14]=000059d8
PC=00000378, REG[13]=0000ff70
PC=0000037c, REG[15]=00000003
PC=00000380, REG[15]=0000000c
PC=00000384, REG[15]=0000ff7c
PC=00000388, ---
PC=0000038c, REG[14]=0000ff60
PC=00000390, REG[15]=00000003
PC=00000394, REG[15]=0000000c
PC=00000398, REG[15]=0000ff6c
PC=0000039c, ---
PC=000003a0, REG[15]=00000003
PC=000003a4, REG[15]=00000004
PC=000003a8, ---
PC=000003ac, REG[15]=00001000
PC=000003b0, REG[15]=00000004
PC=000003b4, REG[14]=00000004
PC=000003b8, ---
PC=000003bc, REG[ 1]=000003bc
PC=000003c0, REG[ 1]=000003c4
PC=00000448, REG[15]=00001000
PC=0000044c, REG[16]=00000500
PC=00000450, REG[11]=4c958000
PC=00000454, REG[11]=4c957f2d
PC=00000458, REG[13]=12b031f9
PC=0000045c, REG[14]=502959d8
PC=00000460, REG[15]=b3b04fc5
PC=00000464, REG[12]=b3b04fc6
PC=00000468, REG[15]=00000000
PC=0000046c, ---
PC=00000470, REG[12]=5851f000
PC=00000474, REG[12]=5851f42d
PC=00000478, REG[12]=a0631cc5
PC=0000047c, REG[14]=058ef2f8
PC=00000480, REG[13]=059738ab
PC=00000484, REG[14]=a5f20fbd
PC=00000488, REG[14]=ab894868
PC=0000048c, REG[15]=ab894868
PC=00000490, REG[10]=571290d0
PC=00000494, ---
PC=00000498, REG[10]=2b894868
PC=0000049c, ---
PC=000003c4, ---
PC=000003c8, REG[15]=0000ff80
PC=000003cc, REG[11]=0000ff70
PC=000003d0, REG[12]=0000ff60
PC=000003d4, REG[14]=0000ff9c
PC=000003d8, REG[13]=2b894868
PC=000003dc, REG[10]=0000ff80
PC=000003e0, REG[ 1]=000003e0
PC=000003e4, REG[ 1]=000003e8
PC=000000b4, REG[ 2]=0000ff20
PC=000000b8, ---
PC=000000bc, REG[ 8]=0000ff60
PC=000000c0, ---
PC=000000c4, ---
PC=000000c8, ---
PC=000000cc, ---
PC=000000d0, ---
PC=000000d4, ---
PC=000000d8, ---
PC=000000dc, ---
PC=000000e0, ---
PC=000000e4, ---
PC=000000e8, ---
PC=00000158, REG[15]=00001000
PC=0000015c, REG[15]=00000004
PC=00000160, REG[14]=00000000
PC=00000164, ---
PC=000000ec, REG[15]=00000000
PC=000000f0, REG[15]=00000000
PC=000000f4, REG[14]=0000ff80
PC=000000f8, REG[15]=0000ff80
PC=000000fc, REG[13]=0000f42d
PC=00000100, REG[15]=00000000
PC=00000104, REG[15]=00000000
PC=00000108, REG[14]=0000ff70
PC=0000010c, REG[15]=0000ff70
PC=00000110, REG[14]=00008ccf
PC=00000114, REG[15]=00000000
PC=00000118, REG[15]=00000000
PC=0000011c, REG[12]=0000ff60
PC=00000120, REG[15]=0000ff60
PC=00000124, REG[14]=864e0c63
PC=00000128, ---
PC=0000012c, REG[15]=00000000
PC=00000130, REG[15]=00000000
PC=00000134, REG[14]=0000ff60
PC=00000138, REG[15]=0000ff60
PC=0000013c, REG[15]=864e0c63
PC=00000140, REG[14]=00000000
PC=00000144, REG[15]=864e0c63
PC=00000148, ---
PC=0000014c, REG[15]=00000000
PC=00000150, REG[15]=00000001
PC=00000154, ---
PC=00000158, REG[15]=00001000
PC=0000015c, REG[15]=00000004
PC=00000160, REG[14]=00000001
PC=00000164, ---
PC=000000ec, REG[15]=00000001
PC=000000f0, REG[15]=00000004
PC=000000f4, REG[14]=0000ff80
PC=000000f8, REG[15]=0000ff84
PC=000000fc, REG[13]=0000f646
PC=00000100, REG[15]=00000001
PC=00000104, REG[15]=00000004
PC=00000108, REG[14]=0000ff70
PC=0000010c, REG[15]=0000ff74
PC=00000110, REG[14]=00003129
PC=00000114, REG[15]=00000001
PC=00000118, REG[15]=00000004
PC=0000011c, REG[12]=0000ff60
PC=00000120, REG[15]=0000ff64
PC=00000124, REG[14]=2f4ad736
PC=00000128, ---
PC=0000012c, REG[15]=00000001
PC=00000130, REG[15]=00000004
PC=00000134, REG[14]=0000ff60
PC=00000138, REG[15]=0000ff64
PC=0000013c, REG[15]=2f4ad736
PC=00000140, REG[14]=864e0c63
PC=00000144, REG[15]=b598e399
PC=00000148, ---
PC=0000014c, REG[15]=00000001
PC=00000150, REG[15]=00000002
PC=00000154, ---
PC=00000158, REG[15]=00001000
PC=0000015c, REG[15]=00000004
PC=00000160, REG[14]=00000002
PC=00000164, ---
PC=000000ec, REG[15]=00000002
PC=000000f0, REG[15]=00000008
PC=000000f4, REG[14]=0000ff80
PC=000000f8, REG[15]=0000ff88
PC=000000fc, REG[13]=00005b04
PC=00000100, REG[15]=00000002
PC=00000104, REG[15]=00000008
PC=00000108, REG[14]=0000ff70
PC=0000010c, REG[15]=0000ff78
PC=00000110, REG[14]=00005db4
PC=00000114, REG[15]=00000002
PC=00000118, REG[15]=00000008
PC=0000011c, REG[12]=0000ff60
PC=00000120, REG[15]=0000ff68
PC=00000124, REG[14]=215072d0
PC=00000128, ---
PC=0000012c, REG[15]=00000002
PC=00000130, REG[15]=00000008
PC=00000134, REG[14]=0000ff60
PC=00000138, REG[15]=0000ff68
PC=0000013c, REG[15]=215072d0
PC=00000140, REG[14]=b598e399
PC=00000144, REG[15]=d6e95669
PC=00000148, ---
PC=0000014c, REG[15]=00000002
PC=00000150, REG[15]=00000003
PC=00000154, ---
PC=00000158, REG[15]=00001000
PC=0000015c, REG[15]=00000004
PC=00000160, REG[14]=00000003
PC=00000164, ---
PC=000000ec, REG[15]=00000003
PC=000000f0, REG[15]=0000000c
PC=000000f4, REG[14]=0000ff80
PC=000000f8, REG[15]=0000ff8c
PC=000000fc, REG[13]=00007f78
PC=00000100, REG[15]=00000003
PC=00000104, REG[15]=0000000c
