PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=e089af31
PC=000002d4, REG[14]=68069013
PC=000002d8, REG[13]=281365e7
PC=000002dc, REG[14]=48903f44
PC=000002e0, REG[14]=70a3a52b
PC=000002e4, REG[15]=70a3a52b
PC=000002e8, REG[10]=e1474a56
PC=000002ec, ---
PC=000002f0, REG[10]=70a3a52b
PC=000002f4, ---
PC=000001f4, REG[15]=70a3a52b
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=94744781
PC=00000204, REG[19]=c7bc4565
PC=00000208, REG[18]=94744781
PC=0000020c, REG[14]=385fea90
PC=00000210, REG[13]=001c2ff5
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=001c2ff5
PC=0000021c, REG[14]=001c2ff5
PC=00000220, REG[14]=70bfd400
PC=00000224, REG[14]=70a3a40b
PC=00000228, REG[13]=00000120
PC=0000022c, REG[15]=0000000c
PC=00000230, REG[15]=00000030
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010020
PC=0000023c, ---
PC=00000240, REG[15]=0000000c
PC=00000244, REG[15]=0000000d
PC=00000248, ---
PC=0000024c, REG[14]=0000000d
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=7c609632
PC=000002b4, REG[14]=70a3a52b
PC=000002b8, REG[15]=0a9734ca
PC=000002bc, REG[12]=0a9734cb
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=a1f40eca
PC=000002d4, REG[14]=e1bb5d8f
PC=000002d8, REG[13]=25354e98
PC=000002dc, REG[14]=83af6c59
PC=000002e0, REG[14]=a8e4baf1
PC=000002e4, REG[15]=a8e4baf1
PC=000002e8, REG[10]=51c975e2
PC=000002ec, ---
PC=000002f0, REG[10]=28e4baf1
PC=000002f4, ---
PC=000001f4, REG[15]=28e4baf1
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=7ea5b8d3
PC=00000204, REG[19]=eb92c066
PC=00000208, REG[18]=7ea5b8d3
PC=0000020c, REG[14]=14777b57
PC=00000210, REG[13]=000a3bbd
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=000a3bbd
PC=0000021c, REG[14]=000a3bbd
PC=00000220, REG[14]=28eef400
PC=00000224, REG[14]=28e4b843
PC=00000228, REG[13]=000002ae
PC=0000022c, REG[15]=0000000d
PC=00000230, REG[15]=00000034
PC=00000234, REG[14]=0000fff0
PC=00000238, REG[15]=00010024
PC=0000023c, ---
PC=00000240, REG[15]=0000000d
PC=00000244, REG[15]=0000000e
PC=00000248, ---
PC=0000024c, REG[14]=0000000e
PC=00000250, REG[15]=00000062
PC=00000254, ---
PC=000001ec, REG[ 1]=000001ec
PC=000001f0, REG[ 1]=000001f4
PC=000002a0, REG[15]=00000000
PC=000002a4, REG[16]=00000360
PC=000002a8, REG[11]=4c958000
PC=000002ac, REG[11]=4c957f2d
PC=000002b0, REG[13]=0a9734cb
PC=000002b4, REG[14]=a8e4baf1
PC=000002b8, REG[15]=ddebfcaf
PC=000002bc, REG[12]=ddebfcb0
PC=000002c0, REG[15]=00000000
PC=000002c4, ---
PC=000002c8, REG[12]=5851f000
PC=000002cc, REG[12]=5851f42d
PC=000002d0, REG[12]=7720c3af
PC=000002d4, REG[14]=83376b5d
PC=000002d8, REG[13]=032b12f0
PC=000002dc, REG[14]=fa582f0c
PC=000002e0, REG[14]=fd8341fc
PC=000002e4, REG[15]=fd8341fc
PC=000002e8, REG[10]=fb0683f8
PC=000002ec, ---
PC=000002f0, REG[10]=7d8341fc
PC=000002f4, ---
PC=000001f4, REG[15]=7d8341fc
PC=000001f8, REG[14]=80201000
PC=000001fc, REG[14]=80200803
PC=00000200, REG[13]=d219a5f4
PC=00000204, REG[19]=c14e1357
PC=00000208, REG[18]=d219a5f4
PC=0000020c, REG[14]=3ed15553
PC=00000210, REG[13]=001f68aa
PC=00000214, REG[14]=00000000
PC=00000218, REG[13]=001f68aa
PC=0000021c, REG[14]=001f68aa
PC=00000220, REG[14]=7da2a800
PC=00000224, REG[14]=7d833f56
PC=00000228, REG[13]=000002a6
PC=0000022c, REG[15]=0000000e
PC=00000230, REG[15]=00000038
