PC=0000042c, REG[ 2]=0000fed0
PC=00000430, ---
PC=000004c0, ---
PC=000004c4, REG[ 1]=0000048c
PC=000004c8, REG[ 8]=0000ff30
PC=000004cc, REG[ 2]=0000ff00
PC=000004d0, ---
PC=0000048c, REG[15]=00000002
PC=00000490, REG[15]=00000003
PC=00000494, REG[12]=00000005
PC=00000498, REG[11]=00000003
PC=0000049c, REG[10]=0000ff94
PC=000004a0, REG[ 1]=000004a0
PC=000004a4, REG[ 1]=000004a8
PC=00000434, REG[ 2]=0000fed0
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000ff00
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
PC=00000450, REG[14]=00000003
PC=00000454, REG[15]=00000005
PC=00000458, ---
PC=0000045c, REG[14]=00000005
PC=00000460, REG[15]=00000003
PC=00000464, REG[15]=00000002
PC=00000468, REG[15]=00000001
PC=0000046c, REG[14]=00000003
PC=00000470, REG[15]=00000004
PC=00000474, ---
PC=00000478, REG[12]=00000004
PC=0000047c, REG[11]=00000003
PC=00000480, REG[10]=0000ff94
PC=00000484, REG[ 1]=00000484
PC=00000488, REG[ 1]=0000048c
PC=00000434, REG[ 2]=0000fea0
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000fed0
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
PC=00000450, REG[14]=00000003
PC=00000454, REG[15]=00000004
PC=00000458, ---
PC=0000045c, REG[14]=00000004
PC=00000460, REG[15]=00000003
PC=00000464, REG[15]=00000001
PC=00000468, REG[15]=00000000
PC=0000046c, REG[14]=00000003
PC=00000470, REG[15]=00000003
PC=00000474, ---
PC=00000478, REG[12]=00000003
PC=0000047c, REG[11]=00000003
PC=00000480, REG[10]=0000ff94
PC=00000484, REG[ 1]=00000484
PC=00000488, REG[ 1]=0000048c
PC=00000434, REG[ 2]=0000fe70
PC=00000438, ---
PC=0000043c, ---
PC=00000440, REG[ 8]=0000fea0
PC=00000444, ---
PC=00000448, ---
PC=0000044c, ---
