PC=0000063c, REG[10]=00000003
PC=00000640, REG[ 1]=00000640
PC=00000644, REG[ 1]=00000648
PC=000002a8, REG[ 2]=0000ee90
PC=000002ac, ---
PC=000002b0, ---
PC=000002b4, REG[ 8]=0000f680
PC=000002b8, REG[ 6]=ffff7000
PC=000002bc, REG[ 6]=ffff6b70
PC=000002c0, REG[ 2]=00005a00
PC=000002c4, REG[16]=ffff6000
PC=000002c8, REG[17]=0000f670
PC=000002cc, REG[16]=00005670
PC=000002d0, ---
PC=000002d4, REG[10]=ffff6000
PC=000002d8, REG[16]=0000f670
PC=000002dc, REG[10]=00005670
PC=000002e0, ---
PC=000002e4, REG[11]=ffff6000
PC=000002e8, REG[10]=0000f670
PC=000002ec, REG[11]=00005670
PC=000002f0, ---
PC=000002f4, REG[12]=ffff6000
PC=000002f8, REG[11]=0000f670
PC=000002fc, REG[12]=00005670
PC=00000300, ---
