PC=000006d4, REG[15]=00000007
PC=000006d8, REG[15]=0000000e
PC=000006dc, REG[14]=0000ff80
PC=000006e0, REG[15]=0000ff8e
PC=000006e4, REG[14]=00000006
PC=000006e8, REG[14]=00000003
PC=000006ec, REG[14]=00030000
PC=000006f0, REG[14]=00000003
PC=000006f4, REG[12]=00000003
PC=000006f8, REG[14]=00000000
PC=000006fc, REG[13]=0000fef0
PC=00000700, REG[15]=00000006
PC=00000704, REG[15]=0000fef6
PC=00000708, ---
PC=0000070c, REG[15]=00000006
PC=00000710, REG[15]=00000008
PC=00000714, REG[15]=00080000
PC=00000718, REG[15]=00000008
PC=0000071c, ---
PC=00000720, REG[14]=00000008
PC=00000724, REG[15]=00000008
PC=00000728, ---
PC=0000072c, REG[ 9]=0000ff00
PC=00000730, REG[15]=00000008
PC=00000734, REG[15]=00000004
PC=00000738, REG[18]=00040000
PC=0000073c, REG[18]=00000004
PC=00000740, REG[14]=00000002
PC=00000744, REG[15]=00000002
PC=00000748, REG[15]=00000004
PC=0000074c, REG[15]=00040000
PC=00000750, REG[15]=00000004
PC=00000754, REG[15]=00040000
PC=00000758, REG[15]=00000004
PC=0000075c, REG[10]=00000004
PC=00000760, REG[ 1]=00000760
PC=00000764, REG[ 1]=00000768
PC=000004d4, REG[ 2]=0000fed0
PC=000004d8, ---
PC=000004dc, REG[ 8]=0000fef0
PC=000004e0, REG[15]=00000004
PC=000004e4, ---
PC=000004e8, ---
PC=0000050c, REG[15]=00000004
PC=00000510, ---
PC=00000514, ---
PC=00000538, REG[15]=00000011
PC=0000053c, REG[14]=00000004
PC=00000540, ---
PC=00000544, REG[15]=00000004
PC=00000548, REG[10]=00000004
PC=0000054c, REG[ 8]=0000ff70
PC=00000550, REG[ 2]=0000fef0
PC=00000554, ---
PC=00000768, REG[15]=00000004
PC=0000076c, REG[12]=00000004
PC=00000770, REG[11]=00000004
PC=00000774, REG[10]=0000ff00
PC=00000778, REG[ 1]=00000778
PC=0000077c, REG[ 1]=00000780
PC=00000558, REG[ 2]=0000fe90
PC=0000055c, ---
PC=00000560, ---
PC=00000564, ---
PC=00000568, ---
PC=0000056c, ---
PC=00000570, ---
PC=00000574, ---
PC=00000578, ---
PC=0000057c, ---
PC=00000580, ---
PC=00000584, REG[ 8]=0000fef0
PC=00000588, ---
PC=0000058c, REG[13]=00000004
PC=00000590, ---
PC=00000594, REG[13]=00000004
PC=00000598, ---
PC=0000059c, REG[13]=0000fe90
PC=000005a0, REG[24]=0000fe90
PC=000005a4, REG[12]=00000004
PC=000005a8, REG[13]=00000001
PC=000005ac, ---
PC=000005b0, REG[13]=00000008
PC=000005b4, REG[13]=00000007
PC=000005b8, ---
PC=000005bc, REG[13]=00000008
PC=000005c0, REG[22]=00000008
PC=000005c4, REG[23]=00000000
PC=000005c8, REG[13]=00000000
PC=000005cc, REG[29]=00000000
PC=000005d0, REG[29]=00000000
PC=000005d4, REG[28]=00000080
PC=000005d8, REG[13]=00000008
PC=000005dc, REG[20]=00000008
PC=000005e0, REG[21]=00000000
PC=000005e4, REG[13]=00000000
PC=000005e8, REG[ 7]=00000000
PC=000005ec, REG[ 7]=00000000
PC=000005f0, REG[ 6]=00000080
PC=000005f4, REG[13]=00000008
PC=000005f8, REG[13]=00000010
PC=000005fc, REG[13]=0000001f
PC=00000600, REG[13]=00000001
PC=00000604, REG[13]=00000010
PC=00000608, REG[ 2]=0000fe80
PC=0000060c, REG[13]=0000fe80
PC=00000610, REG[13]=0000fe81
PC=00000614, REG[13]=00007f40
PC=00000618, REG[13]=0000fe80
PC=0000061c, ---
PC=00000620, REG[13]=00000008
PC=00000624, REG[13]=00000007
PC=00000628, ---
PC=0000062c, REG[13]=00000008
PC=00000630, REG[18]=00000008
PC=00000634, REG[19]=00000000
PC=00000638, REG[13]=00000000
PC=0000063c, REG[17]=00000000
PC=00000640, REG[17]=00000000
PC=00000644, REG[16]=00000080
PC=00000648, REG[13]=00000008
PC=0000064c, REG[30]=00000008
PC=00000650, REG[31]=00000000
PC=00000654, REG[13]=00000000
PC=00000658, REG[15]=00000000
PC=0000065c, REG[15]=00000000
PC=00000660, REG[14]=00000080
PC=00000664, REG[15]=00000008
PC=00000668, REG[15]=00000010
PC=0000066c, REG[15]=0000001f
PC=00000670, REG[15]=00000001
PC=00000674, REG[15]=00000010
PC=00000678, REG[ 2]=0000fe70
